INFO:root:Namespace(aggregation='average', batch_size=256, debug=False, device=device(type='cuda'), dropout=0.1, epochs=50, hidden_size=128, in_features=17, kernel_size=3, log_dir='exps/logs', lr=0.0001, model='LSTM', num_channels=[64, 64, 128], num_classes=2, num_layers=2, num_workers=4, print_freq=5, root='data', save_dir='exps/chpts/LSTM_layers2_stride10_average_lr0.0001', seed=14, start_epoch=0, tb_dir='exps/tb/LSTM_layers2_stride10_average_lr0.0001', temp_stride=10)
INFO:root:LSTM(
  (rnn): LSTM(17, 128, num_layers=2, batch_first=True)
  (fc): Linear(in_features=128, out_features=2, bias=True)
  (avg_pool): AdaptiveAvgPool1d(output_size=1)
  (max_pool): AdaptiveMaxPool1d(output_size=1)
)
INFO:root:=> Loading 2396 samples for train
INFO:root:=> Loading 313 samples for val
INFO:root:=> Loading 583 samples for test
INFO:root:TRAIN | Epoch: [0/50] | Loss: 0.6931 | AP: 44.90 | TP:2.07, FP:1.82, FN:96.43, TN:149.38 | ACC: 60.68
INFO:root:VAL   | Epoch: [0/50] | Loss: 0.6943 | AP: 40.23 | TP:5.0, FP:5.0, FN:124.0, TN:179.0 | ACC: 58.79
INFO:root:=> AP improved (40.23) improved at epoch 0 | saving best model!
INFO:root:TRAIN | Epoch: [1/50] | Loss: 0.6921 | AP: 48.02 | TP:20.21, FP:21.15, FN:78.22, TN:130.13 | ACC: 60.14
INFO:root:VAL   | Epoch: [1/50] | Loss: 0.6943 | AP: 37.06 | TP:54.0, FP:99.0, FN:75.0, TN:85.0 | ACC: 44.41
INFO:root:TRAIN | Epoch: [2/50] | Loss: 0.6912 | AP: 47.65 | TP:59.23, FP:69.91, FN:38.79, TN:81.77 | ACC: 56.47
INFO:root:VAL   | Epoch: [2/50] | Loss: 0.6947 | AP: 35.55 | TP:80.0, FP:127.0, FN:49.0, TN:57.0 | ACC: 43.77
INFO:root:TRAIN | Epoch: [3/50] | Loss: 0.6903 | AP: 47.83 | TP:75.32, FP:96.63, FN:22.22, TN:55.53 | ACC: 52.50
INFO:root:VAL   | Epoch: [3/50] | Loss: 0.6952 | AP: 35.22 | TP:87.0, FP:139.0, FN:42.0, TN:45.0 | ACC: 42.17
INFO:root:TRAIN | Epoch: [4/50] | Loss: 0.6895 | AP: 48.13 | TP:81.59, FP:108.85, FN:17.11, TN:42.15 | ACC: 49.46
INFO:root:VAL   | Epoch: [4/50] | Loss: 0.6957 | AP: 34.75 | TP:98.0, FP:149.0, FN:31.0, TN:35.0 | ACC: 42.49
INFO:root:TRAIN | Epoch: [5/50] | Loss: 0.6882 | AP: 48.59 | TP:82.99, FP:109.53, FN:15.16, TN:42.02 | ACC: 49.96
INFO:root:VAL   | Epoch: [5/50] | Loss: 0.6966 | AP: 34.80 | TP:88.0, FP:142.0, FN:41.0, TN:42.0 | ACC: 41.53
INFO:root:TRAIN | Epoch: [6/50] | Loss: 0.6872 | AP: 48.34 | TP:76.58, FP:101.98, FN:21.85, TN:49.29 | ACC: 50.58
INFO:root:VAL   | Epoch: [6/50] | Loss: 0.6978 | AP: 34.97 | TP:81.0, FP:133.0, FN:48.0, TN:51.0 | ACC: 42.17
INFO:root:TRAIN | Epoch: [7/50] | Loss: 0.6858 | AP: 48.44 | TP:73.20, FP:94.70, FN:24.74, TN:57.06 | ACC: 52.09
INFO:root:VAL   | Epoch: [7/50] | Loss: 0.6996 | AP: 34.96 | TP:84.0, FP:132.0, FN:45.0, TN:52.0 | ACC: 43.45
INFO:root:TRAIN | Epoch: [8/50] | Loss: 0.6840 | AP: 49.56 | TP:73.66, FP:98.35, FN:24.42, TN:53.27 | ACC: 50.92
INFO:root:VAL   | Epoch: [8/50] | Loss: 0.7020 | AP: 34.96 | TP:83.0, FP:132.0, FN:46.0, TN:52.0 | ACC: 43.13
INFO:root:TRAIN | Epoch: [9/50] | Loss: 0.6819 | AP: 49.07 | TP:73.35, FP:93.03, FN:25.07, TN:58.24 | ACC: 52.42
INFO:root:VAL   | Epoch: [9/50] | Loss: 0.7054 | AP: 35.12 | TP:78.0, FP:129.0, FN:51.0, TN:55.0 | ACC: 42.49
INFO:root:TRAIN | Epoch: [10/50] | Loss: 0.6813 | AP: 49.05 | TP:70.27, FP:89.63, FN:28.09, TN:61.72 | ACC: 52.92
INFO:root:VAL   | Epoch: [10/50] | Loss: 0.7087 | AP: 35.18 | TP:76.0, FP:126.0, FN:53.0, TN:58.0 | ACC: 42.81
INFO:root:TRAIN | Epoch: [11/50] | Loss: 0.6794 | AP: 48.99 | TP:71.54, FP:89.95, FN:27.16, TN:61.05 | ACC: 53.13
INFO:root:VAL   | Epoch: [11/50] | Loss: 0.7130 | AP: 35.30 | TP:77.0, FP:126.0, FN:52.0, TN:58.0 | ACC: 43.13
INFO:root:TRAIN | Epoch: [12/50] | Loss: 0.6777 | AP: 49.97 | TP:68.34, FP:86.07, FN:30.36, TN:64.93 | ACC: 53.42
INFO:root:VAL   | Epoch: [12/50] | Loss: 0.7175 | AP: 35.58 | TP:75.0, FP:121.0, FN:54.0, TN:63.0 | ACC: 44.09
INFO:root:TRAIN | Epoch: [13/50] | Loss: 0.6784 | AP: 50.00 | TP:62.68, FP:77.06, FN:35.54, TN:74.42 | ACC: 55.05
INFO:root:VAL   | Epoch: [13/50] | Loss: 0.7195 | AP: 36.01 | TP:66.0, FP:112.0, FN:63.0, TN:72.0 | ACC: 44.09
INFO:root:TRAIN | Epoch: [14/50] | Loss: 0.6766 | AP: 49.78 | TP:65.21, FP:77.94, FN:32.80, TN:73.74 | ACC: 55.51
INFO:root:VAL   | Epoch: [14/50] | Loss: 0.7220 | AP: 35.74 | TP:75.0, FP:123.0, FN:54.0, TN:61.0 | ACC: 43.45
INFO:root:TRAIN | Epoch: [15/50] | Loss: 0.6764 | AP: 50.45 | TP:68.06, FP:82.64, FN:29.96, TN:69.04 | ACC: 54.76
INFO:root:VAL   | Epoch: [15/50] | Loss: 0.7214 | AP: 36.08 | TP:75.0, FP:120.0, FN:54.0, TN:64.0 | ACC: 44.41
INFO:root:TRAIN | Epoch: [16/50] | Loss: 0.6763 | AP: 50.27 | TP:67.60, FP:82.76, FN:30.89, TN:68.45 | ACC: 54.51
INFO:root:VAL   | Epoch: [16/50] | Loss: 0.7212 | AP: 36.34 | TP:74.0, FP:120.0, FN:55.0, TN:64.0 | ACC: 44.09
