INFO:root:Namespace(aggregation='max', batch_size=256, debug=False, device=device(type='cuda'), dropout=0.1, epochs=50, hidden_size=128, in_features=17, kernel_size=3, log_dir='exps/logs', lr=0.0001, model='LSTM', num_channels=[64, 64, 128], num_classes=2, num_layers=2, num_workers=4, print_freq=5, root='data', save_dir='exps/chpts/LSTM_layers2_stride3_max_lr0.0001', seed=14, start_epoch=0, tb_dir='exps/tb/LSTM_layers2_stride3_max_lr0.0001', temp_stride=3)
INFO:root:LSTM(
  (rnn): LSTM(17, 128, num_layers=2, batch_first=True)
  (fc): Linear(in_features=128, out_features=2, bias=True)
  (avg_pool): AdaptiveAvgPool1d(output_size=1)
  (max_pool): AdaptiveMaxPool1d(output_size=1)
)
INFO:root:=> Loading 2396 samples for train
INFO:root:=> Loading 313 samples for val
INFO:root:=> Loading 583 samples for test
INFO:root:TRAIN | Epoch: [0/50] | Loss: 0.6932 | AP: 44.97 | TP:0.57, FP:1.11, FN:97.92, TN:150.10 | ACC: 60.43
INFO:root:VAL   | Epoch: [0/50] | Loss: 0.6949 | AP: 40.12 | TP:1.0, FP:0.0, FN:128.0, TN:184.0 | ACC: 59.11
INFO:root:=> AP improved (40.12) improved at epoch 0 | saving best model!
INFO:root:TRAIN | Epoch: [1/50] | Loss: 0.6920 | AP: 48.60 | TP:7.21, FP:7.44, FN:91.21, TN:143.84 | ACC: 60.48
INFO:root:VAL   | Epoch: [1/50] | Loss: 0.6948 | AP: 37.59 | TP:21.0, FP:49.0, FN:108.0, TN:135.0 | ACC: 49.84
INFO:root:TRAIN | Epoch: [2/50] | Loss: 0.6911 | AP: 48.13 | TP:40.45, FP:41.47, FN:57.57, TN:110.22 | ACC: 60.35
INFO:root:VAL   | Epoch: [2/50] | Loss: 0.6950 | AP: 36.49 | TP:56.0, FP:105.0, FN:73.0, TN:79.0 | ACC: 43.13
INFO:root:TRAIN | Epoch: [3/50] | Loss: 0.6902 | AP: 48.47 | TP:65.98, FP:74.54, FN:31.56, TN:77.63 | ACC: 57.51
INFO:root:VAL   | Epoch: [3/50] | Loss: 0.6954 | AP: 35.81 | TP:74.0, FP:127.0, FN:55.0, TN:57.0 | ACC: 41.85
INFO:root:TRAIN | Epoch: [4/50] | Loss: 0.6892 | AP: 48.71 | TP:76.73, FP:95.03, FN:21.97, TN:55.98 | ACC: 52.96
INFO:root:VAL   | Epoch: [4/50] | Loss: 0.6957 | AP: 35.51 | TP:90.0, FP:145.0, FN:39.0, TN:39.0 | ACC: 41.21
INFO:root:TRAIN | Epoch: [5/50] | Loss: 0.6879 | AP: 49.27 | TP:78.11, FP:98.94, FN:20.04, TN:52.61 | ACC: 52.21
INFO:root:VAL   | Epoch: [5/50] | Loss: 0.6965 | AP: 35.36 | TP:83.0, FP:137.0, FN:46.0, TN:47.0 | ACC: 41.53
INFO:root:TRAIN | Epoch: [6/50] | Loss: 0.6867 | AP: 49.54 | TP:72.75, FP:89.70, FN:25.68, TN:61.58 | ACC: 53.76
INFO:root:VAL   | Epoch: [6/50] | Loss: 0.6977 | AP: 35.48 | TP:77.0, FP:121.0, FN:52.0, TN:63.0 | ACC: 44.73
INFO:root:TRAIN | Epoch: [7/50] | Loss: 0.6851 | AP: 49.19 | TP:68.72, FP:85.25, FN:29.23, TN:66.51 | ACC: 54.13
INFO:root:VAL   | Epoch: [7/50] | Loss: 0.6993 | AP: 35.31 | TP:79.0, FP:122.0, FN:50.0, TN:62.0 | ACC: 45.05
INFO:root:TRAIN | Epoch: [8/50] | Loss: 0.6832 | AP: 50.38 | TP:70.42, FP:89.33, FN:27.67, TN:62.29 | ACC: 53.26
INFO:root:VAL   | Epoch: [8/50] | Loss: 0.7016 | AP: 35.23 | TP:78.0, FP:127.0, FN:51.0, TN:57.0 | ACC: 43.13
INFO:root:TRAIN | Epoch: [9/50] | Loss: 0.6811 | AP: 49.84 | TP:71.32, FP:86.21, FN:27.10, TN:65.07 | ACC: 54.51
INFO:root:VAL   | Epoch: [9/50] | Loss: 0.7054 | AP: 35.29 | TP:76.0, FP:121.0, FN:53.0, TN:63.0 | ACC: 44.41
INFO:root:TRAIN | Epoch: [10/50] | Loss: 0.6795 | AP: 49.67 | TP:67.52, FP:84.18, FN:30.83, TN:67.17 | ACC: 53.92
INFO:root:VAL   | Epoch: [10/50] | Loss: 0.7094 | AP: 35.35 | TP:76.0, FP:123.0, FN:53.0, TN:61.0 | ACC: 43.77
INFO:root:TRAIN | Epoch: [11/50] | Loss: 0.6770 | AP: 49.66 | TP:71.75, FP:88.63, FN:26.95, TN:62.37 | ACC: 53.76
INFO:root:VAL   | Epoch: [11/50] | Loss: 0.7146 | AP: 35.18 | TP:78.0, FP:129.0, FN:51.0, TN:55.0 | ACC: 42.49
